time,open,high,low,close,vol
1660521600,1935.32,2012.47,1523.67,1618.13,6245075.8822
1661126400,1618.13,1722.0,1424.0,1426.76,5680094.1028
1661731200,1426.76,1650.0,1422.08,1579.28,5044263.2551
1662336000,1579.29,1789.0,1490.66,1766.11,4668123.4131
1662940800,1766.12,1783.0,1325.55,1334.51,5784488.7576
1663545600,1334.51,1408.9,1220.0,1294.63,5736574.9099
1664150400,1294.62,1400.0,1253.2,1276.72,4714233.4876
1664755200,1276.72,1383.99,1263.04,1323.13,2899060.4732
1665360000,1323.13,1343.12,1190.0,1305.95,3388589.4231
1665964800,1305.96,1371.55,1252.65,1364.2,2951869.4931
1666569600,1364.19,1663.06,1324.17,1590.44,6094414.837
1667174400,1590.45,1680.0,1502.32,1568.29,4581252.7508
1667779200,1568.25,1608.04,1073.53,1221.49,9856350.1681
1668384000,1221.5,1291.2,1132.65,1142.21,3872561.5274
1668988800,1142.21,1235.66,1075.0,1193.88,3852198.0722
1669593600,1193.88,1309.77,1151.02,1279.41,3279474.5966
1670198400,1279.4,1305.11,1218.01,1263.01,2267254.9617
1670803200,1263.0,1352.72,1155.32,1183.06,3300225.297
1671408000,1183.06,1237.99,1150.51,1218.51,1978460.2941
1672012800,1218.52,1233.73,1181.06,1200.34,1565275.6649
1672617600,1200.33,1296.0,1193.0,1290.16,1874373.9047
1673222400,1290.15,1599.98,1285.44,1552.52,4219468.6884
1673827200,1552.52,1679.26,1501.39,1627.44,3509158.2566
1674432000,1627.43,1660.0,1518.0,1644.72,3426332.1614
1675036800,1644.73,1714.68,1535.0,1629.02,3234339.8978
1675641600,1629.01,1697.91,1490.0,1514.83,2973123.9347
1676246400,1514.82,1742.97,1461.93,1679.75,3974311.7909
1676851200,1679.74,1719.89,1557.33,1641.36,3113162.2863
1677456000,1641.37,1677.86,1544.39,1564.58,3002562.809
1678060800,1564.57,1594.19,1368.39,1580.33,5261721.2704
1678665600,1580.33,1841.36,1565.0,1780.68,6262787.8403
1679270400,1780.67,1857.16,1710.12,1773.88,4323928.0818
1679875200,1773.88,1847.28,1686.13,1794.51,3373183.9183
1680480000,1794.51,1942.98,1762.77,1858.92,2964842.5896
1681084800,1858.91,2141.54,1846.4,2118.67,3684963.8428
1681689600,2118.66,2125.0,1825.0,1862.0,3606341.1812
1682294400,1862.01,1964.72,1785.0,1870.09,3455930.7413
1682899200,1870.08,2019.0,1806.12,1870.4,3206970.9473
1683504000,1870.41,1887.47,1740.0,1799.21,3088278.6267
1684108800,1799.2,1846.7,1771.12,1804.91,1877652.6148
1684713600,1804.91,1918.65,1761.41,1908.64,2198755.7685
1685318400,1908.64,1927.62,1840.0,1890.01,1810516.8326
1685923200,1890.0,1898.29,1715.03,1752.76,2735840.9155
1686528000,1752.77,1770.13,1626.01,1720.95,2052207.1051
1687132800,1720.95,1936.42,1698.0,1898.8,2571304.7446
1687737600,1898.8,1959.2,1816.56,1937.48,2555824.0945
1688342400,1937.49,1976.16,1826.0,1862.8,1745434.2954
1688947200,1862.81,2029.11,1846.63,1922.11,2021480.9564
1689552000,1922.12,1936.18,1851.18,1888.73,1454848.7617
1690156800,1888.74,1890.86,1833.19,1861.79,1234833.0557
1690761600,1861.79,1879.74,1813.8,1830.28,1323802.4295
1691366400,1830.28,1876.51,1802.0,1840.73,1076853.3198
1691971200,1840.73,1856.5,1550.0,1685.24,2319472.4485
1692576000,1685.23,1702.11,1580.0,1658.33,1662375.1205
1693180800,1658.33,1745.84,1602.33,1635.84,1763401.206
1693785600,1635.84,1670.0,1600.0,1617.42,1308523.2053
1694390400,1617.42,1654.08,1531.01,1622.48,1646998.1296
1694995200,1622.48,1669.5,1567.77,1580.71,1263736.9807
1695600000,1580.71,1751.0,1563.01,1733.79,1522616.2518
1696204800,1733.8,1744.0,1606.73,1632.84,1508277.4331
1696809600,1632.85,1636.0,1521.0,1557.77,1491107.7151
1697414400,1557.78,1667.8,1541.61,1663.7,1768361.9508
1698019200,1663.69,1865.54,1657.07,1795.14,2612130.0596
1698624000,1795.14,1912.67,1777.11,1891.71,2246065.6763
1699228800,1891.71,2136.99,1850.32,2044.68,3217824.3491
1699833600,2044.69,2118.0,1904.0,2011.47,2909811.5943
1700438400,2011.47,2133.02,1928.41,2062.33,2436005.7188
1701043200,2062.34,2217.27,1985.78,2192.95,2059877.6581
1701648000,2192.96,2403.0,2188.33,2352.39,2855044.4905
1702252800,2352.39,2355.0,2144.32,2196.52,2589192.8571
1702857600,2196.53,2343.15,2116.6,2264.05,2772501.3746
1703462400,2264.04,2445.8,2178.45,2281.87,2701603.8776
1704067200,2281.87,2431.3,2100.0,2221.42,2729092.4564
1704672000,2221.42,2717.32,2166.38,2472.87,4583690.2125
1705276800,2472.87,2614.43,2415.2,2457.05,2198099.091
1705881600,2457.06,2466.1,2168.07,2256.9,2634723.4541
1706486400,2256.9,2391.98,2233.8,2289.79,1929216.6968
1707091200,2289.79,2539.63,2269.11,2507.21,2183844.0391
1707696000,2507.22,2895.0,2472.0,2881.2,2884670.9657
1708300800,2881.2,3122.0,2856.93,3112.59,3325600.6648
1708905600,3112.6,3522.81,3036.59,3487.81,3918303.8282
1709510400,3487.8,3993.75,3200.0,3878.47,4876443.9626
1710115200,3878.47,4093.92,3412.0,3644.71,4498501.7667
1710720000,3644.7,3645.02,3056.56,3454.98,4573957.9796
1711324800,3454.99,3678.86,3420.12,3645.29,2678017.3235
1711929600,3645.29,3645.95,3202.79,3454.2,2537269.621
1712534400,3454.2,3730.71,2852.0,3155.11,4111856.8835
1713139200,3155.11,3277.85,2865.18,3147.67,3082901.5669
1713744000,3147.66,3357.4,3066.74,3263.45,2171496.9307
1714348800,3263.44,3286.95,2817.0,3136.41,2745302.3283
1714953600,3136.4,3221.4,2878.03,2929.29,1733118.1611
1715558400,2929.3,3146.98,2862.0,3071.19,2006314.8675
1716163200,3071.2,3949.29,3047.67,3826.47,4432688.1628
1716768000,3826.47,3977.0,3702.58,3780.91,2008150.8132
1717372800,3780.92,3887.47,3600.0,3706.4,1598380.5436
1717977600,3706.4,3713.67,3362.26,3624.41,2002012.3791
1718582400,3624.41,3638.37,3355.0,3420.91,2029677.9377
1719187200,3420.91,3487.7,3240.0,3438.16,1642583.3763
1719792000,3438.16,3524.94,2810.0,2931.0,2404392.0416
1720396800,2930.99,3268.72,2822.8,3245.08,1811337.9883
1721001600,3245.2,3547.0,3233.22,3535.92,1896101.9183
1721606400,3535.93,3562.82,3087.53,3270.16,2073949.1765
1722211200,3270.16,3396.77,2630.0,2688.92,2315109.2317
1722816000,2688.91,2724.1,2111.0,2555.38,5404357.4398
1723420800,2555.38,2780.0,2510.05,2612.15,2038545.3388
1724025600,2612.15,2820.0,2536.22,2746.13,1770389.3741
1724630400,2746.12,2762.0,2392.96,2425.72,1972091.5264
1725235200,2425.71,2564.83,2150.55,2297.3,2205410.4186
1725840000,2297.3,2464.82,2272.8,2316.1,1582774.647
1726444800,2316.09,2632.57,2252.39,2581.0,1934203.9178
1727049600,2580.99,2728.6,2539.49,2657.62,1700523.1697
1727654400,2657.62,2663.5,2310.0,2440.03,1866301.096
1728259200,2440.02,2521.0,2330.66,2468.91,1496864.6501
1728864000,2468.92,2759.0,2443.39,2746.91,1988901.4205
1729468800,2746.91,2769.48,2382.59,2507.8,2121027.5261
1730073600,2507.8,2722.3,2411.0,2457.73,2528794.7142
1730678400,2457.73,3248.52,2357.59,3183.21,4332044.1216
1731283200,3183.2,3442.5,3014.5,3076.0,4891858.4823
1731888000,3075.99,3497.51,3029.41,3361.2,4422697.3945
1732492800,3361.21,3746.8,3252.0,3707.61,4295514.8505
1733097600,3707.61,4087.73,3500.0,4004.15,4669905.3912
1733702400,4004.15,4006.17,3509.0,3959.09,3822903.4975
1734307200,3959.09,4107.8,3101.9,3281.83,5094815.4058
1734912000,3281.83,3547.95,3216.97,3440.76,1072585.7817
